DATA_INIZIO,VALORE
25/03/2021,78
25/03/2021,78
25/03/2021,67
25/03/2021,98
25/03/2021,41
25/03/2021,82
25/03/2021,72
25/03/2021,56
25/03/2021,67
25/03/2021,89
25/03/2021,94
25/03/2021,47
25/03/2021,87
25/03/2021,37
25/03/2021,26
25/03/2021,26
25/03/2021,84
25/03/2021,75
25/03/2021,64
25/03/2021,72
25/03/2021,23
25/03/2021,97
25/03/2021,68
25/03/2021,13
25/03/2021,34
28/03/2021,25
28/03/2021,71
28/03/2021,69
28/03/2021,14
28/03/2021,76
28/03/2021,33
31/03/2021,50
31/03/2021,67
31/03/2021,30
31/03/2021,54
31/03/2021,70
31/03/2021,68
31/03/2021,85
01/04/2021,84
01/04/2021,84
01/04/2021,78
01/04/2021,1
01/04/2021,58
01/04/2021,55
01/04/2021,27
01/04/2021,29
01/04/2021,76
31/03/2021,38
11/04/2021,92
11/04/2021,55
11/04/2021,64
11/04/2021,25
11/04/2021,17
11/04/2021,15
11/04/2021,81
11/04/2021,69
11/04/2021,98
12/04/2021,66
